,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Month,Day,Hour,Sales,Frequency,total_product_purchases,category,sub_category,full_categ
116,C543611,21730,glass star frosted tlight holder,-1.0,2011-02-10 14:38:00,4.25,17850.0,United Kingdom,2,10,14,-4.25,35,102.0,glass,holder,holder glass
117,C543611,21730,glass star frosted tlight holder,-1.0,2011-02-10 14:38:00,4.95,17850.0,United Kingdom,2,10,14,-4.95,35,102.0,glass,holder,holder glass
152,C543611,22632,hand warmer red retrospot,-6.0,2011-02-10 14:38:00,1.85,17850.0,United Kingdom,2,10,14,-11.100000000000001,35,102.0,retrospot,hand,hand retrospot
189,C543611,21871,save the planet mug,-1.0,2011-02-10 14:38:00,1.06,17850.0,United Kingdom,2,10,14,-1.06,35,83.0,mug,planet,planet mug
205,C543611,21071,vintage billboard drink me mug,-6.0,2011-02-10 14:38:00,1.06,17850.0,United Kingdom,2,10,14,-6.36,35,90.0,vintage,mug,mug vintage
236,C543611,82483,wood 2 drawer cabinet white finish,-1.0,2011-02-10 14:38:00,4.95,17850.0,United Kingdom,2,10,14,-4.95,35,48.0,wood,drawer,drawer wood
237,C543611,82483,wood 2 drawer cabinet white finish,-1.0,2011-02-10 14:38:00,4.95,17850.0,United Kingdom,2,10,14,-4.95,35,48.0,wood,drawer,drawer wood
238,C543611,82483,wood 2 drawer cabinet white finish,-2.0,2011-02-10 14:38:00,4.95,17850.0,United Kingdom,2,10,14,-9.9,35,48.0,wood,drawer,drawer wood
239,C543611,82483,wood 2 drawer cabinet white finish,-1.0,2011-02-10 14:38:00,4.95,17850.0,United Kingdom,2,10,14,-4.95,35,48.0,wood,drawer,drawer wood
240,C543611,82483,wood 2 drawer cabinet white finish,-1.0,2011-02-10 14:38:00,4.95,17850.0,United Kingdom,2,10,14,-4.95,35,48.0,wood,drawer,drawer wood
285,C543611,82494l,wooden frame antique white,-2.0,2011-02-10 14:38:00,2.55,17850.0,United Kingdom,2,10,14,-5.1,35,82.0,frame,antique,antique frame
286,C543611,82494l,wooden frame antique white,-12.0,2011-02-10 14:38:00,2.55,17850.0,United Kingdom,2,10,14,-30.599999999999998,35,82.0,frame,antique,antique frame
309,C543611,21874,gin and tonic mug,-1.0,2011-02-10 14:38:00,1.06,17850.0,United Kingdom,2,10,14,-1.06,35,-1.0,mug,gin,gin mug
310,C543611,71477,colour glass star tlight holder,-2.0,2011-02-10 14:38:00,2.75,17850.0,United Kingdom,2,10,14,-5.5,35,-2.0,glass,holder,holder glass
311,C543611,21169,youre confusing me metal sign,-2.0,2011-02-10 14:38:00,1.45,17850.0,United Kingdom,2,10,14,-2.9,35,-2.0,metal,sign,sign metal
323,C548374,84969,box of 6 assorted colour teaspoons,-1.0,2011-03-30 16:36:00,4.25,13047.0,United Kingdom,3,30,16,-4.25,16,35.0,box,colour,colour box
355,C540391,22274,feltcraft doll emily,-1.0,2011-01-06 18:02:00,2.95,13047.0,United Kingdom,1,6,18,-2.95,16,5.0,feltcraft,doll,doll feltcraft
372,C548374,22969,homemade jam scented candles,-2.0,2011-03-30 16:36:00,1.45,13047.0,United Kingdom,3,30,16,-2.9,16,10.0,jam,homemade,homemade jam
376,C559486,22720,set of 3 cake tins pantry design,-1.0,2011-07-08 13:51:00,4.95,13047.0,United Kingdom,7,8,13,-4.95,16,23.0,cake,pantry,pantry cake
387,C548374,21658,glass  beurre dish,-2.0,2011-03-30 16:36:00,3.95,13047.0,United Kingdom,3,30,16,-7.9,16,9.0,glass,dish,dish glass
389,C556920,21658,glass  beurre dish,-1.0,2011-06-15 13:49:00,3.95,13047.0,United Kingdom,6,15,13,-3.95,16,9.0,glass,dish,dish glass
407,C559486,85123a,white hanging heart tlight holder,-1.0,2011-07-08 13:51:00,2.95,13047.0,United Kingdom,7,8,13,-2.95,16,23.0,heart,holder,holder heart
416,C563197,23160,regency tea spoon,-3.0,2011-08-14 09:57:00,1.25,13047.0,United Kingdom,8,14,9,-3.75,16,18.0,tea,regency,regency tea
417,C563601,23160,regency tea spoon,-3.0,2011-08-18 06:25:00,1.25,13047.0,United Kingdom,8,18,6,-3.75,16,18.0,tea,regency,regency tea
429,C556920,23126,feltcraft girl amelie kit,-2.0,2011-06-15 13:49:00,4.95,13047.0,United Kingdom,6,15,13,-9.9,16,6.0,feltcraft,kit,kit feltcraft
434,C559486,22423,regency cakestand 3 tier,-1.0,2011-07-08 13:51:00,12.75,13047.0,United Kingdom,7,8,13,-12.75,16,3.0,regency,tier,tier regency
438,C559486,23112,parisienne curio cabinet,-2.0,2011-07-08 13:51:00,7.5,13047.0,United Kingdom,7,8,13,-15.0,16,2.0,cabinet,parisienne,parisienne cabinet
441,C559486,23110,parisienne key cabinet,-2.0,2011-07-08 13:51:00,5.75,13047.0,United Kingdom,7,8,13,-11.5,16,2.0,cabinet,parisienne,parisienne cabinet
444,C559486,23111,parisienne sewing box,-1.0,2011-07-08 13:51:00,12.5,13047.0,United Kingdom,7,8,13,-12.5,16,3.0,box,parisienne,parisienne box
447,C559486,23118,parisienne jewellery drawer,-1.0,2011-07-08 13:51:00,7.5,13047.0,United Kingdom,7,8,13,-7.5,16,1.0,drawer,jewellery,jewellery drawer
453,C559486,23236,storage tin vintage doily,-1.0,2011-07-08 13:51:00,2.89,13047.0,United Kingdom,7,8,13,-2.89,16,11.0,vintage,tin,tin vintage
461,C559486,23245,set of 3 regency cake tins,-2.0,2011-07-08 13:51:00,4.95,13047.0,United Kingdom,7,8,13,-9.9,16,9.0,cake,regency,regency cake
464,C572491,23245,set of 3 regency cake tins,-1.0,2011-10-24 14:02:00,4.95,13047.0,United Kingdom,10,24,14,-4.95,16,9.0,cake,regency,regency cake
469,C572491,23031,drawer knob crackle glaze pink,-1.0,2011-10-24 14:02:00,1.65,13047.0,United Kingdom,10,24,14,-1.65,16,11.0,drawer,knob,knob drawer
471,C559486,23029,drawer knob crackle glaze green,-1.0,2011-07-08 13:51:00,1.65,13047.0,United Kingdom,7,8,13,-1.65,16,5.0,drawer,knob,knob drawer
473,C559486,23028,drawer knob crackle glaze blue,-1.0,2011-07-08 13:51:00,1.65,13047.0,United Kingdom,7,8,13,-1.65,16,11.0,drawer,knob,knob drawer
493,C572491,23198,pantry magnetic  shopping list,-3.0,2011-10-24 14:02:00,1.45,13047.0,United Kingdom,10,24,14,-4.35,16,9.0,pantry,list,list pantry
501,C572491,23487,sweet heart cake carrier,-1.0,2011-10-24 14:02:00,9.95,13047.0,United Kingdom,10,24,14,-9.95,16,1.0,heart,cake,cake heart
634,C568244,22197,popcorn holder,-13.0,2011-09-26 12:21:00,0.85,12583.0,France,9,26,12,-11.049999999999999,17,119.0,holder,popcorn,popcorn holder
